日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,ＫＹＢ,7242,輸送用機器,0.01%,TOPIX Small 1,
20211130,市光工,7244,電気機器,0.00%,TOPIX Small 2,
20211130,大同メタル,7245,輸送用機器,0.00%,TOPIX Small 2,
20211130,プレス工,7246,輸送用機器,0.01%,TOPIX Small 1,
20211130,ミクニ,7247,輸送用機器,0.00%,TOPIX Small 2,
20211130,太平洋工,7250,輸送用機器,0.01%,TOPIX Small 1,
20211130,河西工,7256,輸送用機器,0.00%,TOPIX Small 2,
20211130,アイシン,7259,輸送用機器,0.12%,TOPIX Mid400,
20211130,マツダ,7261,輸送用機器,0.11%,TOPIX Mid400,
20211130,今仙電機,7266,輸送用機器,0.00%,TOPIX Small 2,
20211130,ホンダ,7267,輸送用機器,0.92%,TOPIX Core30,
20211130,スズキ,7269,輸送用機器,0.40%,TOPIX Large70,
20211130,ＳＵＢＡＲＵ,7270,輸送用機器,0.23%,TOPIX Large70,
20211130,安永,7271,輸送用機器,0.00%,TOPIX Small 2,
20211130,ヤマハ発,7272,輸送用機器,0.14%,TOPIX Mid400,
20211130,小糸製,7276,電気機器,0.14%,TOPIX Mid400,
20211130,ＴＢＫ,7277,輸送用機器,0.00%,TOPIX Small 2,
20211130,エクセディ,7278,輸送用機器,0.01%,TOPIX Small 1,
20211130,ミツバ,7280,電気機器,0.00%,TOPIX Small 2,
20211130,豊田合,7282,輸送用機器,0.03%,TOPIX Mid400,
20211130,愛三工,7283,輸送用機器,0.00%,TOPIX Small 2,
20211130,盟和産,7284,輸送用機器,0.00%,TOPIX Small 2,
20211130,日本プラスト,7291,輸送用機器,0.00%,TOPIX Small 2,
20211130,ヨロズ,7294,輸送用機器,0.00%,TOPIX Small 2,
20211130,ＦＣＣ,7296,輸送用機器,0.01%,TOPIX Small 1,
20211130,新家工,7305,鉄鋼,0.00%,TOPIX Small 2,
20211130,シマノ,7309,輸送用機器,0.48%,TOPIX Large70,
20211130,ＴＳテック,7313,輸送用機器,0.02%,TOPIX Mid400,
20211130,３３ＦＧ,7322,銀行業,0.00%,TOPIX Small 2,○
20211130,第四北越ＦＧ,7327,銀行業,0.01%,TOPIX Small 1,○
20211130,ひろぎんＨＤ,7337,銀行業,0.03%,TOPIX Mid400,
20211130,マーキュリアＨＤ,7347,証券、商品先物取引業,0.00%,TOPIX Small 2,
20211130,おきなわＦＧ,7350,銀行業,0.01%,TOPIX Small 2,○
20211130,ＤｍＭｉＸ,7354,サービス業,0.01%,TOPIX Small 1,
20211130,ポピンズＨＤ,7358,サービス業,0.00%,TOPIX Small 2,
20211130,ＬＩＴＡＬＩＣＯ,7366,サービス業,0.01%,TOPIX Small 1,
20211130,十六ＦＧ,7380,銀行業,0.01%,TOPIX Small 1,○
20211130,北國ＦＨＤ,7381,銀行業,0.01%,TOPIX Small 1,○
20211130,ジャムコ,7408,輸送用機器,0.00%,TOPIX Small 2,
20211130,小野建,7414,卸売業,0.01%,TOPIX Small 2,
20211130,はるやまＨＤ,7416,小売業,0.00%,TOPIX Small 2,
20211130,南陽,7417,卸売業,0.00%,TOPIX Small 2,○
20211130,ノジマ,7419,小売業,0.01%,TOPIX Small 1,
20211130,佐鳥電機,7420,卸売業,0.00%,TOPIX Small 2,
20211130,カッパ・クリエイト,7421,小売業,0.01%,TOPIX Small 1,
20211130,エコーＴＤ,7427,卸売業,0.00%,TOPIX Small 2,
20211130,伯東,7433,卸売業,0.01%,TOPIX Small 2,
20211130,コンドーテック,7438,卸売業,0.00%,TOPIX Small 2,○
20211130,中山福,7442,卸売業,0.00%,TOPIX Small 2,○
20211130,ライトオン,7445,小売業,0.00%,TOPIX Small 2,
20211130,ナガイレーベ,7447,卸売業,0.01%,TOPIX Small 2,
20211130,三菱食品,7451,卸売業,0.01%,TOPIX Small 2,
20211130,良品計画,7453,小売業,0.08%,TOPIX Mid400,
20211130,三城ＨＤ,7455,小売業,0.00%,TOPIX Small 2,
20211130,松田産,7456,卸売業,0.01%,TOPIX Small 2,
20211130,第一興商,7458,卸売業,0.03%,TOPIX Mid400,
20211130,メディパル,7459,卸売業,0.08%,TOPIX Mid400,
20211130,アドヴァングループ,7463,小売業,0.00%,TOPIX Small 2,
20211130,ＳＰＫ,7466,卸売業,0.00%,TOPIX Small 2,
20211130,萩原電気ＨＤ,7467,卸売業,0.00%,TOPIX Small 2,
20211130,アルビス,7475,小売業,0.00%,TOPIX Small 2,
20211130,アズワン,7476,卸売業,0.04%,TOPIX Mid400,
20211130,スズデン,7480,卸売業,0.00%,TOPIX Small 2,○
20211130,尾家産,7481,卸売業,0.00%,TOPIX Small 2,
20211130,シモジマ,7482,卸売業,0.00%,TOPIX Small 2,
20211130,ドウシシャ,7483,卸売業,0.01%,TOPIX Small 2,
