"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"6188","富士ソフトサービスビューロ","東証二部","サービス","4131","13500000","1.96","6","9.95","1.38","30.74","222.31","30600","100","20210203","557","20210823","297"
"6189","グローバルキッズCOMPANY","東証一部","サービス","6819","9328511","3.42","25","8.52","0.79","85.82","928.85","73100","100","20210405","1285","20210818","660"
"6190","フェニックスバイオ","東証マザ","サービス","1703","3307112","0","0","-","1.58","-47.62","326.88","51500","100","20210819","757","20211220","513"
"6191","エアトリ","東証一部","サービス","72188","22109765","-","-","103.13","9.73","31.66","335.58","326500","100","20211004","4595","20210105","1187"
"6192","ハイアス・アンド・カンパニー","東証マザ","サービス","5899","37336980","-","-","-","2.69","-","58.71","15800","100","20210927","298","20210105","139"
"6193","バーチャレクス・ホールディングス","東証マザ","サービス","4156","2945453","0","0","16.93","4.39","83.34","321.08","141100","100","20211217","1508","20210122","544"
"6194","アトラエ","東証一部","サービス","65288","26779200","0","0","326.37","12.95","7.47","188.23","243800","100","20210901","2849","20210114","1270"
"6195","ホープ","東証マザ","サービス","2208","10267500","-","-","-","-","-","-185.64","21500","100","20210105","4980","20211118","205"
"6196","ストライク","東証一部","サービス","99868","19354200","0.7","36","36.16","10.88","142.68","474.41","516000","100","20211117","6100","20210818","3590"
"6197","ソラスト","東証一部","サービス","109407","94479050","1.73","20","27.83","5.55","41.61","208.6","115800","100","20210125","1681","20211220","1155"
"6198","キャリア","東証マザ","サービス","3596","8624320","0","0","39.41","2.72","10.58","153.37","41700","100","20210910","1010","20210305","320"
"6199","セラク","東証一部","サービス","21910","13902400","0.55","8.6","17.53","4.75","89.91","331.77","157600","100","20210106","2561","20210305","1543"
"6200","インソース","東証一部","サービス","116101","42621500","0.62","17","64.78","25.48","42.05","106.92","272400","100","20211213","3090","20210104","1621"
"6201","豊田自動織機","東証一部","輸送用機器","2942341","325840640","1.88","170","16.99","0.78","531.43","11505.55","903000","100","20210319","10230","20210104","8050"
"6203","豊和工業","東証一部","機械","9863","12548134","2.54","20","13","0.59","60.47","1329.1","78600","100","20210104","959","20211201","771"
"6205","OKK","東証一部","機械","6517","8146556","0","0","-","0.81","-138.87","991.93","80000","100","20211124","1050","20210927","253"
"6208","石川製作所","東証一部","機械","8960","6385972","0","0","89.48","2.3","15.68","610.44","140300","100","20210104","1950","20211202","1316"
"6210","東洋機械金属","東証一部","機械","10103","20703000","3.07","15","11.8","0.54","41.36","901.87","48800","100","20211104","590","20210105","403"
"6217","津田駒工業","東証一部","機械","4500","6807555","0","0","-","0.7","-594.79","943.54","66100","100","20210118","960","20211202","638"
"6218","エンシュウ","東証一部","機械","4009","6353454","0.79","5","-","0.38","-39.65","1640.14","63100","100","20210512","998","20211201","615"
"6222","島精機製作所","東証一部","機械","70419","35800000","0.51","10","-","0.77","-185.44","2570.95","196700","100","20210322","2713","20210106","1635"
"6227","AIメカテック","東証二部","機械","6717","5630000","3.77","45","8.76","0.9","136.23","1321.95","119300","100","20210730","2043","20211220","1191"
"6229","オーケーエム","東証二部","機械","4976","4519700","3.18","35","5.72","0.61","192.49","1793.05","110100","100","20210126","2894","20210820","1020"
"6230","SANEI","東証二部","機械","6460","2289000","3.19","90","5.87","0.59","480.56","4774.57","282200","100","20210601","4090","20210106","2555"
"6231","木村工機","東証二部","機械","7429","3849000","1.3","25","8.07","1.11","239.08","1738.23","193000","100","20210407","2870","20211220","1930"
"6232","ACSL","東証マザ","機械","23960","12318600","0","0","-","4.07","-","478.47","194500","100","20210104","3440","20211129","1670"
"6233","極東産機","JQS","機械","2906","5391000","1.86","10","20.75","1.04","25.97","515.86","53900","100","20210107","820","20211129","481"
"6235","オプトラン","東証一部","機械","103665","44358000","2.14","50","17.98","2.33","129.95","1002.5","233700","100","20210409","3135","20210810","2026"
"6236","NCホールディングス","東証一部","機械","9303","6416046","1.03","15","18.53","1.06","78.25","1366.71","145000","100","20211208","1799","20210106","537"
"6237","イワキ","東証一部","機械","22761","22490910","2.82","28.5","10.71","0.95","94.52","1064.23","101200","100","20211104","1119","20210201","800"
"6238","フリュー","東証一部","機械","34606","28296000","3.03","37","12.39","1.63","98.68","750.54","122300","100","20210922","1966","20210421","946"
"6239","ナガオカ","JQS","機械","4566","7078400","3.1","20","6.4","1.13","100.72","569","64500","100","20210420","1315","20211220","639"
"6240","ヤマシンフィルタ","東証一部","機械","34203","71405570","1.25","6","79.44","1.64","6.03","291.28","47900","100","20210107","1142","20211220","477"
"6245","ヒラノテクシード","東証二部","機械","42488","15394379","2.03","56","13.41","1.24","205.87","2230.52","276000","100","20211112","3115","20210201","2162"
"6246","テクノスマート","東証二部","機械","16556","12401720","1.5","20","20.68","0.99","64.54","1353.37","133500","100","20211108","1778","20210104","980"
"6247","日阪製作所","東証一部","機械","26317","32732800","3.73","30","17.12","0.42","46.95","1910.58","80400","100","20210917","946","20211130","784"
"6248","横田製作所","JQS","機械","2070","1873500","3.89","43","11.01","0.89","100.36","1234.69","110500","100","20210330","1300","20210520","1100"
"6249","ゲームカード・ジョイコホールディングス","JQS","機械","14520","14263000","3.44","35","-","0.33","-","3067.81","101800","100","20210224","1303","20211220","1016"
"6250","やまびこ","東証一部","機械","54827","44108428","3.3","41","7.59","0.76","163.74","1632.23","124300","100","20210113","1387","20210226","1111"
"6254","野村マイクロ・サイエンス","東証一部","機械","50303","10152000","1.51","75","15.09","3.23","328.4","1531.79","495500","100","20210909","5770","20210218","3025"
"6255","エヌ・ピー・シー","東証マザ","機械","11600","22052426","0.38","2","17.98","1.56","29.25","336.89","52600","100","20210114","1212","20211220","522"
"6257","藤商事","JQS","機械","20980","24395500","5.81","50","13.76","0.52","62.51","1653.64","86000","100","20210322","957","20210104","796"
"6258","平田機工","東証一部","機械","63031","10756090","0.94","55","23.39","1.14","250.49","5157.77","586000","100","20210127","8850","20211202","5840"
"6262","ペガサスミシン製造","東証一部","機械","12191","24828600","2.85","14","21.75","0.53","22.57","922.31","49100","100","20210414","558","20210105","311"
"6264","マルマエ","東証一部","機械","35804","13053000","1.31","36","28.21","5.55","97.24","494.2","274300","100","20211119","3360","20210309","1145"
"6265","妙徳","JQS","機械","3397","1657000","2.44","50","10.26","0.64","199.8","3199.96","205000","100","20211117","2300","20210518","1586"
"6266","タツモ","東証一部","機械","19992","13508300","1.08","16","12.61","1.62","117.35","914.87","148000","100","20210405","2104","20211005","1360"
"6267","ゼネラルパッカー","JQS","機械","4524","1798800","2.39","60","8.54","0.85","294.33","2961.95","251500","100","20211028","2867","20210128","1975"
"6268","ナブテスコ","東証一部","機械","381957","121064099","2.44","77","3.46","1.61","911.15","1956.42","315500","100","20210409","5610","20211206","3120"
"6269","三井海洋開発","東証一部","機械","76602","56408000","2.21","30","-","0.8","-115.33","1693.77","135800","100","20210319","2399","20211220","1352"
"6271","ニッセイ","東証二部","機械","43704","29194673","0.8","12","41.51","0.97","36.06","1537.31","149700","100","20211110","1530","20210602","984"
"6272","レオン自動機","東証一部","機械","37676","28392000","1.21","16","22.8","1.3","58.21","1020.22","132700","100","20210916","1600","20210305","1071"
"6273","SMC","東証一部","機械","5060786","67369359","0.8","600","30.45","3.41","2466.89","22027.22","7512000","100","20210917","79510","20210311","58760"
"6276","シリウスビジョン","JQS","機械","1980","5722500","2.89","10","-","0.56","-","620.54","34600","100","20210707","443","20211129","333"
"6277","ホソカワミクロン","東証一部","機械","52898","17230538","2.28","70","11.85","1.09","259.15","2828.71","307000","100","20210917","3740","20211201","2788"
"6278","ユニオンツール","東証一部","機械","73285","19780000","2.02","75","17.3","1.11","214.17","3332.23","370500","100","20210811","4240","20210104","3010"
"6279","瑞光","東証二部","機械","26525","28800000","1.49","13.75","15.82","0.84","58.22","1092.94","92100","100","20210317","1242","20211129","830"
"6282","オイレス工業","東証一部","機械","59786","34300505","2.87","50","16.1","0.86","108.29","2037.67","174300","100","20210326","1860","20210527","1532"
"6284","日精エー・エス・ビー機械","東証一部","機械","45263","15348720","3.39","100","11.63","1.17","253.48","2526.3","294900","100","20210108","6840","20211203","2835"
"6286","靜甲","JQS","機械","4039","6483323","2.57","16","11.45","0.29","54.43","2133.48","62300","100","20210115","670","20210624","579"
"6287","サトーホールディングス","東証一部","機械","73265","34921242","3.34","70","17.64","1.19","118.92","1769.72","209800","100","20210329","2972","20211220","2082"
"6289","技研製作所","東証一部","機械","117539","28153028","1.68","70","35.78","2.93","116.69","1426.1","417500","100","20210222","5310","20211201","4020"
"6291","日本エアーテック","東証一部","機械","12830","10448200","4.07","50","8.58","0.96","143.05","1280.69","122800","100","20210107","1734","20210820","1063"
"6292","カワタ","東証一部","機械","6395","7210000","3.38","30","12.13","0.57","73.11","1544.55","88700","100","20211008","1430","20210305","837"
"6293","日精樹脂工業","東証一部","機械","22294","22272000","3","30","7.97","0.55","125.62","1814.82","100100","100","20210628","1473","20210129","871"
"6294","オカダアイヨン","東証一部","機械","12417","8378700","2.09","31","9.89","1","149.9","1485.88","148200","100","20211208","1570","20210105","1090"
"6295","富士変速機","名証二部","機械","5620","17955000","1.92","6","17.64","0.52","17.74","605.56","31300","100","20210422","345","20210820","300"
"6297","鉱研工業","JQS","機械","3678","8970111","1.95","8","13.02","0.77","31.49","529.19","41000","100","20210122","618","20211005","403"
