"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証一部","水産・農林","33003","10928283","2.65","80","9.28","0.77","325.35","3910.65","302000","100","20210322","3305","20210709","2850"
"1332","日本水産","東証一部","水産・農林","166213","312430277","2.07","11","9.74","0.9","54.63","590.15","53200","100","20211014","689","20210104","416"
"1333","マルハニチロ","東証一部","水産・農林","124534","52656910","1.69","40","8.89","0.81","266.05","2920.12","236500","100","20210309","2795","20210106","2173"
"1352","ホウスイ","東証一部","卸売","6837","8379000","2.45","20","9.76","0.93","83.6","875.11","81600","100","20210726","1033","20211216","808"
"1375","雪国まいたけ","東証一部","水産・農林","46296","39910700","3.62","42","10.11","4.8","114.78","241.44","116000","100","20210329","2029","20211220","1159"
"1376","カネコ種苗","東証一部","水産・農林","17011","11772626","2.01","29","15.33","0.78","94.29","1863.92","144500","100","20210406","1695","20211203","1321"
"1377","サカタのタネ","東証一部","水産・農林","155033","47410750","1.16","38","16.56","1.28","197.51","2550.27","327000","100","20210329","4145","20211129","3110"
"1379","ホクト","東証一部","水産・農林","62949","33359040","3.18","60","18.01","1.15","104.76","1641.95","188700","100","20210127","2203","20211130","1842"
"1380","秋川牧園","JQS","水産・農林","4434","4179000","0.94","10","34.03","2.23","31.18","474.98","106100","100","20210205","1288","20210831","1021"
"1381","アクシーズ","JQS","水産・農林","17751","5617500","3.01","95","8.66","1.02","365.04","3107.45","316000","100","20210121","3585","20210709","3000"
"1382","ホーブ","JQS","水産・農林","723","762000","0","0","6.51","1.24","145.72","767.56","94900","100","20210507","1066","20210128","890"
"1383","ベルグアース","JQS","水産・農林","3828","1446900","0.38","10","-","3.31","-","799.6","264600","100","20210413","2874","20210104","2184"
"1384","ホクリヨウ","東証一部","水産・農林","5761","8459000","2.2","15","6.82","0.58","99.89","1170.48","68100","100","20210705","845","20210304","666"
"1400","ルーデン・ホールディングス","JQG","建設","2563","13008600","0","0","42.83","0.97","4.6","202.96","19700","100","20210212","430","20211220","196"
"1401","エムビーエス","東証マザ","建設","3719","7732000","-","-","-","1.38","-","349.76","48100","100","20210107","849","20211202","475"
"1407","ウエストホールディングス","JQS","建設","257754","46027488","0.98","55","31.92","8.99","175.42","622.66","560000","100","20211119","6940","20210225","2771"
"1413","ヒノキヤグループ","東証一部","建設","29919","13575000","4.54","100","8.03","1.31","274.64","1686.11","220400","100","20210419","2742","20210118","1991"
"1414","ショーボンドホールディングス","東証一部","建設","291103","56745180","2.11","108","24","3.07","213.73","1669.42","513000","100","20211216","5360","20210120","4500"
"1417","ミライト・ホールディングス","東証一部","建設","205168","108325329","2.9","55","8.49","0.82","223.19","2297.5","189400","100","20210914","2403","20210129","1657"
"1418","インターライフホールディングス","JQS","建設","3222","20010529","2.48","4","31.14","0.82","5.17","195.93","16100","100","20210113","310","20211220","161"
"1419","タマホーム","東証一部","建設","65038","29455800","4.98","110","8.91","2.59","247.83","850.9","220800","100","20210719","3245","20210105","1448"
"1420","サンヨーホームズ","東証一部","建設","9175","12620000","3.44","25","26.79","0.54","27.14","1349.59","72700","100","20210205","891","20210521","704"
"1429","日本アクア","東証一部","建設","23324","34760000","2.98","20","22.92","2.87","29.28","233.67","67100","100","20211208","767","20210528","512"
"1430","ファーストコーポレーション","東証一部","建設","9314","13363540","4.3","30","7.11","1.35","98.09","517.94","69700","100","20210419","843","20211202","665"
"1431","Lib_Work","東証マザ","建設","19845","23292040","0.66","5.6","35.31","6.28","24.13","135.67","85200","100","20210107","1115","20210518","803"
"1433","ベステラ","東証一部","建設","10724","8718400","1.3","16","7.57","2.26","162.59","543.34","123000","100","20210120","2020","20211220","1230"
"1434","JESCOホールディングス","東証二部","建設","3182","6657000","3.14","15","6.35","0.84","75.25","570.33","47800","100","20210402","677","20211129","460"
"1435","Robot_Home","東証一部","建設","19410","91127000","0","0","69.16","2.61","3.08","81.6","21300","100","20210603","314","20210513","164"
"1436","フィット","東証マザ","建設","4086","4283000","1.05","10","13.32","0.88","71.61","1088.64","95400","100","20210105","1814","20210902","828"
"1438","岐阜造園","名証二部","建設","3460","3203600","1.85","20","12.77","1.13","84.6","955.2","108000","100","20210811","1129","20210104","718"
"1439","安江工務店","JQS","建設","1309","1322500","2.53","25","17.75","0.92","55.76","1076.58","99000","100","20210426","1373","20210107","945"
"1443","技研ホールディングス","東証二部","建設","3183","16237977","0.51","1","7.07","0.33","27.72","587.71","19600","100","20210215","342","20211202","196"
"1444","ニッソウ","名証セント","建設","1856","929000","0","0","16.28","1.8","122.76","1106.96","199800","100","20210726","2652","20211213","1921"
"1446","キャンディル","東証一部","建設","5298","10724200","1.21","6","73.62","1.62","6.71","304.07","49400","100","20210906","648","20211129","482"
"1447","ITbookホールディングス","東証マザ","建設","8178","21577001","-","-","52.2","3.81","7.26","99.4","37900","100","20210128","593","20210517","356"
"1448","スペースバリューホールディングス","東証一部","建設","40819","35556584","0","0","28.84","1.6","39.8","718.52","114800","100","20211208","1150","20210201","663"
"1449","FUJIジャパン","札証","建設","790","2130000","1.35","5","18.38","2.13","20.19","174.18","37100","100","20210426","630","20210104","350"
"1450","田中建設工業","JQS","建設","8982","4349800","3.29","68","10.37","1.84","199.1","1121.74","206500","100","20210329","2780","20211209","1993"
"1451","KHC","東証二部","建設","2423","3965350","5.4","33","6.89","0.42","88.62","1448.76","61100","100","20210802","690","20210104","521"
"1491","中外鉱業","東証二部","非鉄金属","8982","289747982","0","0","31.96","1.33","0.97","23.23","3100","100","20210210","45","20210427","29"
"1514","住石ホールディングス","東証一部","鉱業","7597","58892853","2.33","3","4.72","0.46","27.34","279.74","12900","100","20211006","176","20210201","109"
"1515","日鉄鉱業","東証一部","鉱業","50949","8352319","4.43","270","6.77","0.43","901.58","14057.86","610000","100","20210510","7480","20210203","5260"
"1518","三井松島ホールディングス","東証一部","鉱業","19179","13064400","4.09","60","4.77","0.6","307.5","2451.82","146800","100","20211018","1785","20210104","700"
"1605","INPEX","東証一部","鉱業","1419916","1462323600","4.12","40","7.66","0.47","126.69","2073.78","97100","100","20211217","1026","20210104","539"
"1662","石油資源開発","東証一部","鉱業","142373","57154776","2.01","50","-","0.49","-1223.77","5095.92","249100","100","20211210","2618","20210729","1714"
"1663","K＆Oエナジーグループ","東証一部","鉱業","41087","28336061","2.07","30","14.81","0.49","97.89","2937.73","145000","100","20211018","1706","20210812","1292"
"1711","SDSホールディングス","東証二部","建設","2420","5917473","-","-","-","46.53","-","8.79","40900","100","20210426","635","20211025","305"
"1712","ダイセキ環境ソリューション","東証一部","建設","25392","16827120","0.53","8","19.84","1.83","76.05","826.17","150900","100","20211007","2040","20210105","678"
"1716","第一カッター興業","東証一部","建設","15708","12000000","2.06","27","10.57","1.08","123.87","1216.07","130900","100","20210412","1600","20211019","1207"
"1717","明豊ファシリティワークス","東証一部","サービス","9940","12775900","3.6","28","13.91","2.27","55.92","342.66","77800","100","20210727","1015","20210219","615"
"1718","美樹工業","JQS","建設","4815","1153263","3.83","160","7.02","0.33","594.59","12663.95","417500","100","20210930","4285","20210113","3660"
"1719","安藤・間","東証一部","建設","157488","181021197","4.6","40","10.07","1.07","86.36","814.64","87000","100","20210323","913","20210105","712"
"1720","東急建設","東証一部","建設","68114","106761205","6.27","40","-","0.71","-45.86","896.82","63800","100","20211018","833","20210104","480"
"1721","コムシスホールディングス","東証一部","建設","357999","141000000","3.74","95","10.92","0.95","232.44","2674.22","253900","100","20210510","3590","20211201","2454"
"1723","日本電技","JQS","建設","32339","8197500","2.69","106","11.16","1.17","353.45","3375.82","394500","100","20210720","4210","20210519","3710"
"1724","シンクレイヤ","JQS","建設","4249","4618880","1.85","17","4.67","0.85","197.02","1079.16","92000","100","20210531","1339","20210426","720"
"1726","ビーアールホールディングス","東証一部","建設","15341","45795000","3.58","12","10.07","1.19","33.28","280.59","33500","100","20210215","767","20211220","335"
"1730","麻生フオームクリート","JQS","建設","1583","3420000","2.16","10","20.52","1.14","22.56","406.59","46300","100","20210203","663","20211202","433"
"1734","北弘電社","札証","建設","1257","650000","-","-","-","1.8","-2870.03","1076.66","193400","100","20210125","4450","20211208","1780"
"1736","オーテック","JQS","建設","13110","5700000","3.7","85","8.05","0.73","285.73","3162.13","230000","100","20210719","2782","20210118","2200"
"1737","三井金属エンジニアリング","東証二部","建設","11451","12780000","3.68","33","71.51","0.85","12.53","1050.5","89600","100","20210511","1443","20211214","887"
"1738","NITTOH","名証二部","建設","1856","4060360","3.06","14","6.84","0.49","66.86","934.59","45700","100","20210510","517","20210112","402"
"1739","メルディアDC","JQG","建設","4783","6454400","2.02","15","3.48","0.71","212.77","1043.16","74100","100","20211104","943","20210104","588"
"1743","コーアツ工業","東証二部","建設","2637","760000","1.44","50","10.4","0.34","333.72","10123.64","347000","100","20210816","5200","20211214","3415"
"1757","中小企業ホールディングス","東証二部","建設","11978","249541756","0","0","-","13.3","-","3.61","4800","100","20210114","109","20211108","41"
"1758","太洋基礎工業","JQS","建設","4041","819600","2.03","100","6.4","0.44","769.87","11263.72","493000","100","20210610","5370","20210216","4655"
"1762","高松コンストラクショングループ","東証一部","建設","75972","38880000","3.22","63","8.84","0.58","221.15","3346.2","195400","100","20210329","2305","20211130","1864"
"1764","工藤建設","東証二部","建設","2854","1331220","4.66","100","10.16","0.57","211.11","3732.62","214400","100","20210610","2949","20210129","2000"
"1766","東建コーポレーション","東証一部","建設","122460","13472000","2.75","250","10.66","1.13","852.96","8043.71","909000","100","20210322","11280","20210126","7850"
"1768","ソネック","東証一部","建設","7493","7500000","3","30","8.28","0.95","120.65","1050.05","99900","100","20210805","1330","20210127","800"
"1770","藤田エンジニアリング","JQS","建設","11279","11700000","3.11","30","8","0.6","120.55","1604.14","96400","100","20210414","1100","20210105","844"
"1771","日本乾溜工業","福証","建設","2872","5102000","2.13","12","6.6","0.42","85.31","1330.37","56300","100","20210924","792","20210201","525"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド（外国株）","東証一部","建設","-","-","-","-","-","-","-","-","16000","1000","20210226","21","20211213","15"
"1775","富士古河E＆C","東証二部","建設","25265","9026561","3.57","100","6.37","0.87","439.23","3215.15","279900","100","20210527","2999","20210113","2020"
"1776","三井住建道路","東証二部","建設","9751","9277500","2.85","30","9.99","0.78","105.18","1351.35","105100","100","20211206","1130","20210114","894"
"1777","川崎設備工業","名証二部","建設","5256","12000000","3.42","15","8.96","0.52","48.9","848.12","43800","100","20210108","504","20211202","399"
"1780","ヤマウラ","東証一部","建設","20091","21103514","0.53","5","13.06","1.05","72.91","910.85","95200","100","20210323","1025","20210518","890"
"1783","アジアゲートホールディングス","JQS","建設","4644","71442851","0","0","11.9","1.28","5.46","50.93","6500","100","20211008","134","20210105","40"
"1786","オリエンタル白石","東証一部","建設","27807","122498436","3.52","8","8.82","0.71","25.75","318.42","22700","100","20210407","319","20211201","224"
"1787","ナカボーテック","JQS","建設","15381","2602500","2.71","160","25.19","2.11","234.66","2799.85","591000","100","20210315","7550","20210114","4255"
"1788","三東工業社","JQS","建設","1718","686000","1.8","45","10.87","0.55","230.4","4578.36","250500","100","20210507","2699","20210125","2180"
"1789","ETSホールディングス","JQS","建設","4106","6375284","0.78","5","15.71","1.65","40.98","390.7","64400","100","20210420","1274","20211220","640"
"1793","大本組","JQS","建設","30846","5132380","2.83","170","23.61","0.46","254.55","13148.04","601000","100","20211215","6040","20210118","4920"
"1795","マサル","JQS","建設","2708","901151","2.33","70","13.11","0.6","229.17","5010.23","300500","100","20210205","4160","20211217","3005"
"1798","守谷商会","JQS","建設","5001","2260000","2.94","65","3.46","0.43","638.78","5169.42","221300","100","20211101","2600","20210513","1970"
"1799","第一建設工業","JQS","建設","41738","20858491","1.85","37","23.25","0.63","86.06","3168.35","200100","100","20210705","2232","20210126","1638"
"1801","大成建設","東証一部","建設","779158","224541172","3.75","130","11.29","0.84","307.33","4125.75","347000","100","20210329","4530","20211202","3280"
"1802","大林組","東証一部","建設","636372","721509646","3.63","32","18.08","0.67","48.78","1325.28","88200","100","20210329","1077","20211130","834"
"1803","清水建設","東証一部","建設","559057","788514613","3.24","23","9.18","0.66","77.24","1079.25","70900","100","20210329","956","20211210","708"
"1805","飛島建設","東証一部","建設","19214","19310436","5.03","50","7.93","0.46","125.45","2186.16","99500","100","20210315","1325","20211130","976"
"1807","佐藤渡辺","JQS","建設","10338","3195700","2.16","70","7.1","0.52","455.85","6196.31","323500","100","20210326","3370","20210106","2105"
"1808","長谷工コーポレーション","東証一部","建設","416901","300794397","5.05","70","7.47","0.95","185.53","1461.9","138600","100","20210319","1682","20210105","1165"
"1810","松井建設","東証一部","建設","22629","30580000","2.7","20","13.29","0.52","55.7","1412.73","74000","100","20210914","845","20210226","681"
"1811","錢高組","東証一部","建設","28163","7353140","-","-","13.65","0.37","280.64","10420.08","383000","100","20210322","5250","20211129","3730"
"1812","鹿島建設","東証一部","建設","694125","528656011","4.11","54","7.65","0.71","171.66","1837.3","131300","100","20210329","1660","20211201","1247"
"1813","不動テトラ","東証一部","建設","27455","16489522","3.6","60","10.76","0.88","154.67","1893.91","166500","100","20210315","2020","20211201","1598"
"1814","大末建設","東証一部","建設","13523","10614225","4.71","60","7.91","0.68","161.16","1884","127400","100","20211217","1360","20210106","787"
"1815","鉄建建設","東証一部","建設","28188","15668956","4.45","80","7.2","0.44","249.93","4056.23","179900","100","20210329","2155","20211201","1715"
"1820","西松建設","東証一部","建設","199296","55591502","6.16","221","13.71","0.94","261.42","3804.37","358500","100","20210914","3710","20210104","2092"
"1821","三井住友建設","東証一部","建設","68160","162673321","4.77","20","-","0.74","-57.59","566.48","41900","100","20210311","541","20211118","403"
"1822","大豊建設","東証一部","建設","68387","18433163","2.96","110","11.56","0.93","320.98","4000.98","371000","100","20210714","4325","20210104","3570"
"1826","佐田建設","東証一部","建設","7279","15521233","2.77","13","13.23","0.51","35.45","918.72","46900","100","20210623","498","20210222","421"
"1827","ナカノフドー建設","東証一部","建設","11108","34498097","4.35","14","-","0.33","-29.1","981.05","32200","100","20210107","427","20211220","322"
"1828","田辺工業","東証二部","建設","9634","10728000","3.01","27","6.01","0.52","149.52","1734.32","89800","100","20210323","925","20210106","810"
"1832","北海電気工事","札証","建設","14347","20733107","1.45","10","18.38","0.56","37.65","1244.15","69200","100","20211004","745","20210104","630"
"1833","奥村組","東証一部","建設","127722","39665226","4.44","143","11.94","0.72","269.65","4492.32","322000","100","20211115","3430","20210105","2487"
"1835","東鉄工業","東証一部","建設","87795","36100000","3.5","85","16.74","0.88","145.24","2775.39","243200","100","20210208","2800","20210621","2230"
"1840","土屋ホールディングス","東証二部","建設","4588","25775118","3.37","6","8.9","0.37","20","477.88","17800","100","20210915","241","20210430","160"
"1841","サンユー建設","JQS","建設","3492","4000000","2.86","25","24","0.29","36.38","3062.23","87300","100","20210322","941","20210209","841"
"1844","大盛工業","東証二部","建設","2633","14874239","2.82","5","10.96","0.64","16.15","278.54","17700","100","20210312","241","20211215","175"
"1847","イチケン","東証一部","建設","13378","7282400","4.9","90","4.5","0.52","407.94","3518.66","183700","100","20210322","2285","20210106","1763"
"1848","富士ピー・エス","東証一部","建設","9171","18602244","1.83","9","12.06","0.9","40.88","546.75","49300","100","20210210","633","20211202","481"
"1850","南海辰村建設","東証二部","建設","8651","28835730","-","-","6.92","0.73","43.36","411.44","30000","100","20210112","356","20210519","291"
"1852","淺沼組","東証一部","建設","42494","8078629","6.9","363","10.17","1.06","517.18","4983.89","526000","100","20211119","5630","20210105","3930"
"1853","森組","東証二部","建設","9774","32800000","4.7","14","9.66","0.74","30.84","402.69","29800","100","20210316","365","20210105","279"
"1860","戸田建設","東証一部","建設","231668","322656796","2.79","20","13.03","0.7","55.11","1032.21","71800","100","20210323","874","20211201","664"
"1861","熊谷組","東証一部","建設","133443","46805660","4.21","120","7.14","0.81","399.15","3516.07","285100","100","20210323","3295","20210104","2544"
"1866","北野建設","東証一部","建設","14180","6836853","4.34","90","9.19","0.36","225.69","5711.3","207400","100","20210329","2684","20211206","2017"
"1867","植木組","東証一部","建設","10132","6873528","3.39","50","7.8","0.42","188.88","3500.47","147400","100","20210329","1625","20210120","1344"
"1869","名工建設","名証二部","建設","32337","27060000","2.51","30","6.86","0.52","174.3","2315.3","119500","100","20211105","1240","20210310","1012"
"1870","矢作建設工業","東証一部","建設","32742","44607457","4.63","34","9.36","0.57","78.46","1283.19","73400","100","20210329","911","20210526","683"
"1871","ピーエス三菱","東証一部","建設","27922","47486029","3.4","20","8.06","0.63","72.93","939.65","58800","100","20210311","740","20211220","588"
"1873","日本ハウスホールディングス","東証一部","建設","20868","45964842","4.41","20","6.39","0.82","71","551.49","45400","100","20211220","471","20210129","307"
"1878","大東建託","東証一部","建設","899393","68918979","3.62","472","13.67","2.49","954.69","5236.28","1305000","100","20211101","14370","20210118","9200"
"1879","新日本建設","東証一部","建設","50254","61360720","2.32","19","4.79","0.56","171.06","1450.94","81900","100","20210319","972","20211130","745"
"1881","NIPPO","東証一部","建設","475816","119401836","0","0","16.36","1.23","243.52","3227.34","398500","100","20210907","4215","20210201","2583"
"1882","東亜道路工業","東証一部","建設","24143","5220023","3.89","180","5.64","0.49","819.34","9529.64","462500","100","20211115","5250","20210105","3680"
"1884","日本道路","東証一部","建設","79069","9761618","2.59","210","11.87","0.78","682.62","10449","810000","100","20210317","8850","20210201","7220"
"1885","東亜建設工業","東証一部","建設","53807","22494629","3.34","80","7.52","0.59","317.94","4085.28","239200","100","20210323","2636","20210104","1947"
"1887","日本国土開発","東証一部","建設","54433","98255000","4.69","26","7.11","0.66","77.96","839.72","55400","100","20210323","644","20211201","529"
"1888","若築建設","東証一部","建設","24063","12964993","3.5","65","7.76","0.69","239.18","2683.86","185600","100","20210914","2240","20210104","1151"
"1890","東洋建設","東証一部","建設","53414","94371183","3.53","20","8.86","0.83","63.85","680.55","56600","100","20210322","627","20210105","428"
"1892","徳倉建設","名証二部","建設","7968","2207285","3.32","120","5.78","0.48","624.6","7592.63","361000","100","20210730","4000","20210108","3300"
"1893","五洋建設","東証一部","建設","188197","286013910","3.5","23","9.38","1.18","70.16","558.01","65800","100","20210113","948","20211130","649"
"1897","金下建設","東証二部","建設","13495","3806660","1.41","50","382","0.46","9.28","7773.3","354500","100","20210628","3925","20210210","3250"
"1898","世紀東急工業","東証一部","建設","33059","40414407","3.67","30","9.84","0.82","83.09","1001.97","81800","100","20210322","1022","20211110","784"
"1899","福田組","東証一部","建設","37660","8988111","2.63","110","6.74","0.48","622","8815.13","419000","100","20210323","5780","20211126","3925"
"1904","大成温調","JQS","建設","13084","6882487","3.79","72","24.18","0.52","78.63","3673.59","190100","100","20210326","2254","20210806","1886"
"1905","テノックス","JQS","建設","6148","7694080","3.13","25","13.39","0.46","59.66","1749.49","79900","100","20210127","907","20211214","778"
"1909","日本ドライケミカル","東証一部","機械","14127","7181812","1.53","30","7.87","0.84","249.96","2345.18","196700","100","20210927","2460","20210129","1460"
"1911","住友林業","東証一部","建設","449282","201200936","3.13","70","5.58","0.96","400.36","2331.61","223300","100","20210430","2582","20210226","1910"
"1914","日本基礎技術","東証一部","建設","17644","30846400","1.75","10","60.15","0.59","9.51","962.48","57200","100","20210812","661","20210120","462"
"1921","巴コーポレーション","東証一部","建設","18343","40763046","2.22","10","8.48","0.49","53.06","916.43","45000","100","20210913","512","20210621","365"
"1925","大和ハウス工業","東証一部","建設","2157279","666238205","3.89","126","9.86","1.1","328.29","2940.06","323800","100","20210917","3900","20210128","2911"
"1926","ライト工業","東証一部","建設","113933","57804450","2.59","51","11.75","1.34","167.79","1474.87","197100","100","20211206","2087","20210219","1616"
"1928","積水ハウス","東証一部","建設","1599763","684683466","3.77","88","10.7","1.12","218.44","2089.04","233650","100","20211108","2449","20210226","1990"
"1929","日特建設","東証一部","建設","27152","41708367","4.45","29","9.27","0.95","70.25","684.36","65100","100","20210315","872","20211201","636"
"1930","北陸電気工事","東証一部","建設","26593","24969993","3.19","34","8.28","0.65","128.61","1648.54","106500","100","20210917","1386","20211122","991"
"1934","ユアテック","東証一部","建設","46513","72224462","3.73","24","8.22","0.37","78.31","1723.1","64400","100","20210118","981","20211201","597"
"1938","日本リーテック","東証一部","建設","38683","25617717","1.79","27","15.63","0.71","96.62","2121.92","151000","100","20210302","2669","20211129","1343"
"1939","四電工","東証一部","建設","27212","16255470","4.18","70","7.11","0.5","235.6","3376.8","167400","100","20210929","1890","20210121","1288"
"1941","中電工","東証一部","建設","121276","58138117","4.99","104","17","0.54","122.67","3861.67","208600","100","20210329","2540","20211201","2010"
"1942","関電工","東証一部","建設","172237","205288338","3.34","28","8.4","0.62","99.87","1357.66","83900","100","20210416","1055","20211201","800"
"1944","きんでん","東証一部","建設","355509","205141080","2.02","35","13.5","0.71","128.33","2429.54","173300","100","20210914","1997","20211201","1622"
"1945","東京エネシス","東証一部","建設","40094","37261752","2.79","30","10.83","0.57","99.35","1890.05","107600","100","20210914","1161","20210105","866"
"1946","トーエネック","東証一部","建設","62339","19329990","3.57","115","8.37","0.49","385.24","6555.41","322500","100","20210108","4200","20211129","2958"
"1948","弘電社","東証二部","建設","8898","1794000","4.44","220","8.62","0.48","575.4","10243.93","496000","100","20210329","5470","20210105","4700"
"1949","住友電設","東証一部","建設","71272","35635879","3.7","74","9.24","0.82","216.43","2430.57","200000","100","20210121","2760","20211201","1902"
"1950","日本電設工業","東証一部","建設","100060","61537219","1.91","31","20.82","0.6","78.08","2730.46","162600","100","20210104","2117","20211201","1519"
"1951","エクシオグループ","東証一部","建設","283854","116812419","3.7","90","11.18","0.92","217.38","2647.28","243000","100","20210409","3065","20211201","2380"
"1952","新日本空調","東証一部","建設","55533","24282225","2.84","65","12.11","1.03","188.91","2214.47","228700","100","20210330","2630","20210527","1949"
"1954","日本工営","東証一部","サービス","46913","15060314","3.21","100","9.97","0.68","312.33","4599.42","311500","100","20211116","3675","20210127","2675"
"1959","九電工","東証一部","建設","243067","70864961","2.92","100","9.53","1.08","359.94","3178.11","343000","100","20210329","4325","20210120","3135"
"1960","サンテック","東証二部","建設","11288","17000000","3.61","24","21.96","0.36","30.24","1868.4","66400","100","20210115","807","20211116","640"
"1961","三機工業","東証一部","建設","84003","59661156","4.97","70","11.41","0.88","123.36","1595.54","140800","100","20210914","1600","20210104","1190"
"1963","日揮ホールディングス","東証一部","建設","244814","259336682","1.59","15","-","0.65","-166.34","1442.03","94400","100","20210316","1488","20210823","885"
"1964","中外炉工業","東証一部","建設","12082","7800000","3.87","60","19.82","0.56","78.16","2747.94","154900","100","20210303","2332","20211216","1537"
"1965","テクノ菱和","東証二部","建設","20440","22888604","3.14","28","12.96","0.47","68.9","1909.75","89300","100","20210729","935","20210121","859"
"1966","高田工業所","東証二部","建設","4780","7220950","1.51","10","5.24","0.32","126.41","2040.72","66200","100","20210311","991","20210823","560"
"1967","ヤマト","東証一部","建設","19792","26927652","2.04","15","8.65","0.58","84.97","1264.76","73500","100","20211025","841","20210408","645"
"1968","太平電業","東証一部","建設","57019","20341980","3.57","100","7.5","0.7","373.71","4021.82","280300","100","20210914","2990","20210104","2309"
"1969","高砂熱学工業","東証一部","建設","132542","70239402","3.07","58","11.86","0.98","159.16","1916.86","188700","100","20210914","2266","20210105","1509"
"1971","中央ビルト工業","東証二部","金属製品","1375","2378740","-","-","21.58","0.54","26.79","1074.27","57800","100","20210324","660","20211217","570"
"1972","三晃金属工業","東証一部","建設","9100","3960000","4.35","100","7.26","0.44","316.4","5224","229800","100","20210324","3230","20210820","2113"
"1973","NECネッツエスアイ","東証一部","情報通信","256833","149321421","2.21","38","16.01","2.03","107.43","846.24","172000","100","20210915","2289","20210603","1700"
"1975","朝日工業社","東証一部","建設","21216","6800000","3.21","100","14.8","0.6","210.75","5203.8","312000","100","20210916","3575","20211201","2793"
"1976","明星工業","東証一部","建設","43055","59386718","3.31","24","10.47","0.68","69.24","1066.18","72500","100","20210323","869","20211118","624"
"1979","大氣社","東証一部","建設","107702","35082009","3.26","100","17.44","0.86","176.08","3581.21","307000","100","20210907","3640","20210105","2682"
"1980","ダイダン","東証一部","建設","50445","22981901","4.1","90","9.03","0.62","243.18","3535.07","219500","100","20210329","3150","20211130","2050"
"1981","協和日成","JQS","建設","15340","11800000","1.78","24","17.46","0.91","77.31","1485.06","135000","100","20210901","1400","20210112","874"
"1982","日比谷総合設備","東証一部","建設","49888","25006321","4.01","80","13.61","0.75","146.57","2644.24","199500","100","20210329","2080","20210709","1772"
"1992","神田通信機","JQS","建設","3153","2623227","1.66","20","22.38","0.65","53.7","1849.84","120200","100","20211208","1296","20210513","878"
"1994","高橋カーテンウォール工業","JQS","建設","6219","9553011","3.84","25","4.48","0.53","145.34","1230.26","65100","100","20210406","730","20210104","528"
"1997","暁飯島工業","JQS","建設","3872","2200000","2.56","45","8.74","0.61","201.46","2869.11","176000","100","20211118","1814","20210308","1419"
"1999","サイタホールディングス","福証","建設","1797","661000","2.21","60","4.29","0.44","634.47","6145.47","271900","100","20210818","3040","20210205","1910"
"2001","ニップン","東証一部","食料品","129193","78824009","2.2","36","13.97","0.76","117.35","2149.59","163900","100","20210319","1740","20210621","1545"
"2002","日清製粉グループ本社","東証一部","食料品","515582","304357891","2.3","39","26.1","1.16","64.91","1461.45","169400","100","20210917","1953","20210105","1610"
"2003","日東富士製粉","東証一部","食料品","34301","9384728","3.73","136.5","10.75","0.81","339.89","4491.92","365500","100","20210318","4000","20211018","3085"
"2004","昭和産業","東証一部","食料品","88804","33985420","2.49","65","14.38","0.83","181.72","3139.51","261300","100","20210215","3300","20211129","2590"
"2009","鳥越製粉","東証一部","食料品","17965","26036374","2.03","14","23.61","0.5","29.22","1368.39","69000","100","20210112","938","20211220","689"
"2053","中部飼料","東証一部","食料品","28550","30371908","3.19","30","6.88","0.46","136.56","2041.15","94000","100","20210317","1580","20211206","917"
"2055","日和産業","東証二部","食料品","6437","20830825","1.94","6","19.9","0.33","15.53","930.82","30900","100","20210401","402","20211201","280"
"2058","ヒガシマル","福証","食料品","4191","4746000","1.02","9","13.06","0.64","67.59","1373.11","88300","100","20210326","1000","20210107","852"
"2060","フィード・ワン","東証一部","食料品","27002","39477128","3.65","25","7.23","0.6","94.66","1145.25","68400","100","20210323","962","20211220","683"
"2107","東洋精糖","東証一部","食料品","5892","5456000","3.24","35","10.71","0.62","100.87","1738.59","108000","100","20210210","1283","20211220","1080"
"2108","日本甜菜製糖","東証一部","食料品","25011","15325642","3.06","50","20.79","0.33","78.5","4896.95","163200","100","20210323","1788","20210106","1575"
"2109","DM三井製糖ホールディングス","東証一部","食料品","62179","32639780","3.15","60","23.77","0.63","80.15","3028.36","190500","100","20210326","2089","20210106","1786"
"2112","塩水港精糖","東証一部","食料品","7315","35000000","2.39","5","15.35","0.57","13.62","368.8","20900","100","20210326","276","20211126","205"
"2114","フジ日本精糖","東証二部","食料品","16748","29748200","1.95","11","15.12","0.8","37.24","708.15","56300","100","20210323","600","20210330","542"
"2117","日新製糖","東証一部","食料品","38183","22673883","3.92","66","26.57","0.76","63.38","2207.07","168400","100","20210322","1960","20211130","1629"
"2120","LIFULL","東証一部","サービス","30875","134239870","-","-","43.31","1.07","5.31","215.61","23000","100","20210210","460","20211220","228"
"2121","ミクシィ","東証一部","サービス","156071","78230850","5.51","110","59.22","0.79","33.69","2525.94","199500","100","20210319","3045","20211203","1941"
